DATE,spindx
19941201,448.92
19941202,453.30
19941205,453.33
19941206,453.11
19941207,451.23
19941208,445.45
19941209,446.97
19941212,449.47
19941213,450.15
19941214,454.97
19941215,455.35
19941216,458.80
19941219,457.91
19941220,457.10
19941221,459.61
19941222,459.68
19941223,459.83
19941227,462.47
19941228,460.86
19941229,461.17
19941230,459.27
19950103,459.11
19950104,460.71
19950105,460.34
19950106,460.68
19950109,460.83
19950110,461.68
19950111,461.67
19950112,461.64
19950113,465.97
19950116,469.38
19950117,470.05
19950118,469.71
19950119,466.95
19950120,464.78
19950123,465.82
19950124,465.86
19950125,467.44
19950126,468.32
19950127,470.39
19950130,468.51
19950131,470.42
19950201,470.40
19950202,472.79
19950203,478.65
19950206,481.14
19950207,480.81
19950208,481.19
19950209,480.19
19950210,481.46
19950213,481.65
19950214,482.55
19950215,484.54
19950216,485.22
19950217,481.97
19950221,482.72
19950222,485.07
19950223,486.91
19950224,488.26
19950227,483.81
19950228,487.39
19950301,485.65
19950302,485.13
19950303,485.42
19950306,485.63
19950307,482.12
19950308,483.14
19950309,483.16
19950310,489.57
19950313,490.05
19950314,492.89
19950315,491.88
19950316,495.41
19950317,495.52
19950320,496.14
19950321,495.07
19950322,495.67
19950323,495.95
19950324,500.97
19950327,503.20
19950328,503.90
19950329,503.12
19950330,502.22
19950331,500.71
19950403,501.85
19950404,505.24
19950405,505.57
19950406,506.08
19950407,506.42
19950410,507.01
19950411,505.53
19950412,507.17
19950413,509.23
19950417,506.13
19950418,505.37
19950419,504.92
19950420,505.29
19950421,508.49
19950424,512.89
19950425,512.10
19950426,512.66
19950427,513.55
19950428,514.71
19950501,514.26
19950502,514.86
19950503,520.48
19950504,520.54
19950505,520.12
19950508,523.96
19950509,523.56
19950510,524.36
19950511,524.37
19950512,525.55
19950515,527.74
19950516,528.19
19950517,527.07
19950518,519.58
19950519,519.19
19950522,523.65
19950523,528.59
19950524,528.61
19950525,528.59
19950526,523.65
19950530,523.58
19950531,533.40
19950601,533.49
19950602,532.51
19950605,535.60
19950606,535.55
19950607,533.13
19950608,532.35
19950609,527.94
19950612,530.88
19950613,536.05
19950614,536.47
19950615,537.12
19950616,539.83
19950619,545.22
19950620,544.98
19950621,543.98
19950622,551.07
19950623,549.71
19950626,544.13
19950627,542.43
19950628,544.73
19950629,543.87
19950630,544.75
19950703,547.09
19950705,547.26
19950706,553.99
19950707,556.37
19950710,557.19
19950711,554.78
19950712,560.89
19950713,561.00
19950714,559.89
19950717,562.72
19950718,558.46
19950719,550.98
19950720,553.54
19950721,553.62
19950724,556.63
19950725,561.10
19950726,561.61
19950727,565.22
19950728,562.93
19950731,562.06
19950801,559.64
19950802,558.80
19950803,558.75
19950804,558.94
19950807,560.03
19950808,560.39
19950809,559.71
19950810,557.45
19950811,555.11
19950814,559.74
19950815,558.57
19950816,559.97
19950817,559.04
19950818,559.21
19950821,558.11
19950822,559.52
19950823,557.14
19950824,557.46
19950825,560.10
19950828,559.05
19950829,560.00
19950830,560.92
19950831,561.88
19950901,563.84
19950905,569.17
19950906,570.17
19950907,570.29
19950908,572.68
19950911,573.91
19950912,576.51
19950913,578.77
19950914,583.61
19950915,583.35
19950918,582.77
19950919,584.20
19950920,586.77
19950921,583.00
19950922,581.73
19950925,581.81
19950926,581.41
19950927,581.04
19950928,585.87
19950929,584.41
19951002,581.72
19951003,582.34
19951004,581.47
19951005,582.63
19951006,582.49
19951009,578.37
19951010,577.52
19951011,579.46
19951012,583.10
19951013,584.50
19951016,583.03
19951017,586.78
19951018,587.44
19951019,590.65
19951020,587.46
19951023,585.06
19951024,586.56
19951025,582.47
19951026,576.72
19951027,579.70
19951030,583.25
19951031,581.50
19951101,584.22
19951102,589.72
19951103,590.57
19951106,588.46
19951107,586.32
19951108,591.71
19951109,593.26
19951110,592.72
19951113,592.30
19951114,589.29
19951115,593.96
19951116,597.34
19951117,600.07
19951120,596.85
19951121,600.24
19951122,598.40
19951124,599.97
19951127,601.32
19951128,606.45
19951129,607.64
19951130,605.37
19951201,606.98
19951204,613.68
19951205,617.68
19951206,620.18
19951207,616.17
19951208,617.48
19951211,619.52
19951212,618.78
19951213,621.69
19951214,616.92
19951215,616.34
19951218,606.81
19951219,611.93
19951220,605.94
19951221,610.49
19951222,611.95
19951226,614.30
19951227,614.53
19951228,614.12
19951229,615.93
19960102,620.73
19960103,621.32
19960104,617.70
19960105,616.72
19960108,618.46
19960109,609.45
19960110,598.48
19960111,602.69
19960112,601.81
19960115,599.82
19960116,608.44
19960117,606.37
19960118,608.24
19960119,611.83
19960122,613.40
19960123,612.79
19960124,619.96
19960125,617.03
19960126,621.62
19960129,624.22
19960130,630.15
19960131,636.02
19960201,638.46
19960202,635.85
19960205,641.43
19960206,646.33
19960207,649.93
19960208,656.07
19960209,656.37
19960212,661.45
19960213,660.51
19960214,655.58
19960215,651.32
19960216,647.98
19960220,640.65
19960221,648.10
19960222,658.86
19960223,659.08
19960226,650.46
19960227,647.24
19960228,644.75
19960229,640.43
19960301,644.37
19960304,650.81
19960305,655.79
19960306,652.00
19960307,653.65
19960308,633.50
19960311,640.02
19960312,637.09
19960313,638.55
19960314,640.87
19960315,641.43
19960318,652.65
19960319,651.69
19960320,649.98
19960321,649.19
19960322,650.62
19960325,650.04
19960326,652.97
19960327,648.91
19960328,648.94
19960329,645.50
19960401,653.73
19960402,655.26
19960403,655.88
19960404,655.86
19960408,644.24
19960409,642.19
19960410,633.50
19960411,631.18
19960412,636.71
19960415,642.49
19960416,645.00
19960417,641.61
19960418,643.61
19960419,645.07
19960422,647.89
19960423,651.58
19960424,650.17
19960425,652.87
19960426,653.46
19960429,654.16
19960430,654.17
19960501,654.58
19960502,643.38
19960503,641.63
19960506,640.81
19960507,638.26
19960508,644.77
19960509,645.44
19960510,652.09
19960513,661.51
19960514,665.60
19960515,665.42
19960516,664.85
19960517,668.91
19960520,673.15
19960521,672.76
19960522,678.42
19960523,676.00
19960524,678.51
19960528,672.23
19960529,667.93
19960530,671.70
19960531,669.12
19960603,667.68
19960604,672.56
19960605,678.44
19960606,673.03
19960607,673.31
19960610,672.16
19960611,670.97
19960612,669.04
19960613,667.92
19960614,665.85
19960617,665.16
19960618,662.06
19960619,661.96
19960620,662.10
19960621,666.84
